Afghanistan,2020,October,NA,"Dir. Gen., National Directorate of Security",Mohammad Masoom STANEKZAI,Titular,NA,October2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,October,NA,"Dir. Gen., Independent Directorate for Local Governance",Abdul Matin BEK,Titular,NA,October2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,October,NA,"Governor, Da Afghanistan Bank",NA,Titular,NA,October2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,October,NA,Ambassador to the US,Roya RAHMANI,Titular,NA,October2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Afghanistan,2020,October,NA,"Permanent Representative to the UN, New York",Adela RAZ,Titular,NA,October2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Albania,2020,October,NA,Pres.,Ilir META,Titular,NA,October2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,October,NA,Prime Min.,Edi RAMA,Titular,NA,October2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,October,NA,Dep. Prime Min.,Senida MESI,Titular,NA,October2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,October,NA,Min. of Agriculture & Rural Development,Niko PELESHI,Titular,NA,October2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,October,NA,Min. of Culture,Mirela KUMBARO,Titular,NA,October2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,October,NA,Min. of Defense,Olta XHACKA,Titular,NA,October2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,October,NA,Min. of Diaspora,Pandeli MAJKO,Titular,NA,October2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,October,NA,Min. of Economy,Milva EKONOMI,Titular,NA,October2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,October,NA,"Min. of Education, Sports, & Youth",Lindita NIKOLLA,Titular,NA,October2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,October,NA,Min. of Environment,Lefter KOKA,Titular,NA,October2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,October,NA,Min. for Europe & Foreign Affairs,Ditmir BUSHATI,Titular,NA,October2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,October,NA,Min. of Finance & Economy,Arben AHMETAJ,Titular,NA,October2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,October,NA,Min. of Health & Social Welfare,Orgerta MANASTIRLIU,Titular,NA,October2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,October,NA,Min. of Infrastructure & Energy,Damian GJIKNURI,Titular,NA,October2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,October,NA,Min. of Innovation & Public Admin.,Milena HARITO,Titular,NA,October2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,October,NA,Min. of Integration,Klajda GJOSHA,Titular,NA,October2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,October,NA,Min. of Interior,Fatmir XHAFAJ,Titular,NA,October2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,October,NA,Min. of Justice,Etilda GJONAJT,Titular,NA,October2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,October,NA,Min. of Local Govt. Affairs,Bled CUCI,Titular,NA,October2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,October,NA,Min. of Protection of Entrepreneurs,Sonila QATO,Titular,NA,October2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,October,NA,Min. of Relations With Parliament,Ermonela FELAJ,Titular,NA,October2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,October,NA,Min. of Tourism & Environment,Blendi KLOSI,Titular,NA,October2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,October,NA,Min. of Transport & Infrastructure,Edmond HAXHINASTO,Titular,NA,October2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,October,NA,Min. of Urban Development,Eglantina GJERMENI,Titular,NA,October2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,October,NA,Min. of Youth & Social Welfare,Blendi KLOSI,Titular,NA,October2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,October,NA,"Governor, Bank of Albania",Gent SEJKO,Titular,NA,October2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,October,NA,Ambassador to the US,Floreta FABER,Titular,NA,October2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,October,NA,"Permanent Representative to the UN, New York",Besiana KADARE,Titular,NA,October2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Algeria,2020,October,NA,Pres.,Abdelmadjid TEBBOUNE,Titular,NA,October2020ChiefsDirectory.pdf,11-Sep-20,10/13/2021 3:35
Algeria,2020,October,NA,Prime Min.,Abdelaziz DJERAD,Titular,NA,October2020ChiefsDirectory.pdf,11-Sep-20,10/13/2021 3:35
Algeria,2020,October,NA,Min. of Agriculture & Rural Development,Cherif OMARI,Titular,NA,October2020ChiefsDirectory.pdf,11-Sep-20,10/13/2021 3:35
Algeria,2020,October,NA,Min. of Commerce,Kamel REZIG,Titular,NA,October2020ChiefsDirectory.pdf,11-Sep-20,10/13/2021 3:35
Algeria,2020,October,NA,Min. of Communication,Ammar BELHIMER,Titular,NA,October2020ChiefsDirectory.pdf,11-Sep-20,10/13/2021 3:35
Algeria,2020,October,NA,Min. of Culture,Malika BENDOUDA,Titular,NA,October2020ChiefsDirectory.pdf,11-Sep-20,10/13/2021 3:35
Algeria,2020,October,NA,Min. of Energy,Mohamed ARKAB,Titular,NA,October2020ChiefsDirectory.pdf,11-Sep-20,10/13/2021 3:35
Algeria,2020,October,NA,Min. of Environment & Renewable Energies,Mohamed ARKAB,Titular,NA,October2020ChiefsDirectory.pdf,11-Sep-20,10/13/2021 3:35
Algeria,2020,October,NA,Min. of Finance,Abderrahmane RAOUIA,Titular,NA,October2020ChiefsDirectory.pdf,11-Sep-20,10/13/2021 3:35
Algeria,2020,October,NA,Min. of Fishing & Fishery,Sid Ahmed FERROUKHI,Titular,NA,October2020ChiefsDirectory.pdf,11-Sep-20,10/13/2021 3:35
