Country,Year,Month,Branch,Position,Name,Status,Gender,File,CIA Updated,Created
Afghanistan,2020,May,NA,"Permanent Representative to the UN, New York",Adela RAZ,Titular,NA,May2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Albania,2020,May,NA,Pres.,Ilir META,Titular,NA,May2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,May,NA,Prime Min.,Edi RAMA,Titular,NA,May2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,May,NA,Dep. Prime Min.,Senida MESI,Titular,NA,May2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,May,NA,Min. of Agriculture & Rural Development,Niko PELESHI,Titular,NA,May2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,May,NA,Min. of Culture,Mirela KUMBARO,Titular,NA,May2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,May,NA,Min. of Defense,Olta XHACKA,Titular,NA,May2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,May,NA,Min. of Diaspora,Pandeli MAJKO,Titular,NA,May2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,May,NA,Min. of Economy,Milva EKONOMI,Titular,NA,May2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,May,NA,"Min. of Education, Sports, & Youth",Lindita NIKOLLA,Titular,NA,May2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,May,NA,Min. of Environment,Lefter KOKA,Titular,NA,May2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,May,NA,Min. for Europe & Foreign Affairs,Ditmir BUSHATI,Titular,NA,May2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,May,NA,Min. of Finance & Economy,Arben AHMETAJ,Titular,NA,May2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,May,NA,Min. of Health & Social Welfare,Orgerta MANASTIRLIU,Titular,NA,May2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,May,NA,Min. of Infrastructure & Energy,Damian GJIKNURI,Titular,NA,May2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,May,NA,Min. of Innovation & Public Admin.,Milena HARITO,Titular,NA,May2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,May,NA,Min. of Integration,Klajda GJOSHA,Titular,NA,May2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,May,NA,Min. of Interior,Fatmir XHAFAJ,Titular,NA,May2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,May,NA,Min. of Justice,Etilda GJONAJT,Titular,NA,May2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,May,NA,Min. of Local Govt. Affairs,Bled CUCI,Titular,NA,May2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,May,NA,Min. of Protection of Entrepreneurs,Sonila QATO,Titular,NA,May2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,May,NA,Min. of Relations With Parliament,Ermonela FELAJ,Titular,NA,May2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,May,NA,Min. of Tourism & Environment,Blendi KLOSI,Titular,NA,May2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,May,NA,Min. of Transport & Infrastructure,Edmond HAXHINASTO,Titular,NA,May2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,May,NA,Min. of Urban Development,Eglantina GJERMENI,Titular,NA,May2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,May,NA,Min. of Youth & Social Welfare,Blendi KLOSI,Titular,NA,May2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,May,NA,"Governor, Bank of Albania",Gent SEJKO,Titular,NA,May2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,May,NA,Ambassador to the US,Floreta FABER,Titular,NA,May2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,May,NA,"Permanent Representative to the UN, New York",Besiana KADARE,Titular,NA,May2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Algeria,2020,May,NA,Pres.,Abdelmadjid TEBBOUNE,Titular,NA,May2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,May,NA,Prime Min.,Abdelaziz DJERAD,Titular,NA,May2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,May,NA,Min. of Agriculture & Rural Development,Cherif OMARI,Titular,NA,May2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,May,NA,Min. of Commerce,Kamel REZIG,Titular,NA,May2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,May,NA,Min. of Communication,Ammar BELHIMER,Titular,NA,May2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,May,NA,Min. of Culture,Malika BENDOUDA,Titular,NA,May2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,May,NA,Min. of Energy,Mohamed ARKAB,Titular,NA,May2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,May,NA,Min. of Environment & Renewable Energies,Mohamed ARKAB,Titular,NA,May2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,May,NA,Min. of Finance,Abderrahmane RAOUIA,Titular,NA,May2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,May,NA,Min. of Fishing & Fishery,Sid Ahmed FERROUKHI,Titular,NA,May2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
