Country,Year,Month,Branch,Position,Name,Status,Gender,File,CIA Updated,Created
Afghanistan,2020,July,NA,"Permanent Representative to the UN, New York",Adela RAZ,Titular,NA,July2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Albania,2020,July,NA,Pres.,Ilir META,Titular,NA,July2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,July,NA,Prime Min.,Edi RAMA,Titular,NA,July2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,July,NA,Dep. Prime Min.,Senida MESI,Titular,NA,July2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,July,NA,Min. of Agriculture & Rural Development,Niko PELESHI,Titular,NA,July2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,July,NA,Min. of Culture,Mirela KUMBARO,Titular,NA,July2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,July,NA,Min. of Defense,Olta XHACKA,Titular,NA,July2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,July,NA,Min. of Diaspora,Pandeli MAJKO,Titular,NA,July2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,July,NA,Min. of Economy,Milva EKONOMI,Titular,NA,July2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,July,NA,"Min. of Education, Sports, & Youth",Lindita NIKOLLA,Titular,NA,July2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,July,NA,Min. of Environment,Lefter KOKA,Titular,NA,July2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,July,NA,Min. for Europe & Foreign Affairs,Ditmir BUSHATI,Titular,NA,July2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,July,NA,Min. of Finance & Economy,Arben AHMETAJ,Titular,NA,July2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
