Country,Year,Month,Branch,Position,Name,Status,Gender,File,CIA Updated,Created
Andorra,2020,September,NA,Min. of Civil Service & Admin. Reform,Eva DESCARREGA Garcia,Titular,NA,September2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Andorra,2020,September,NA,"Min. of Culture, Youth, & Sports",Olga GELABERT FABREGA,Titular,NA,September2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Andorra,2020,September,NA,Min. of Education & Higher Education,Eric JOVER COMAS,Titular,NA,September2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Andorra,2020,September,NA,"Min. of Environment, Agriculture, & Sustainability",Silvia CALVO ARMENGOL,Titular,NA,September2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Andorra,2020,September,NA,Min. of Finance,Jordi CINCA Mateos,Titular,NA,September2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Andorra,2020,September,NA,Min. of Foreign Affairs,Gilbert SABOYA Sunye,Titular,NA,September2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Andorra,2020,September,NA,Min. of Health,Carles ALVAREZ MARFANY,Titular,NA,September2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Andorra,2020,September,NA,"Min. of Social Affairs, Justice, & Interior",Xavier ESPOT Zamora,Titular,NA,September2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Andorra,2020,September,NA,Min. of Territorial Planning,Jordi TORRES FALCO,Titular,NA,September2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Andorra,2020,September,NA,Min. of Tourism & Commerce,Francesc CAMP Torres,Titular,NA,September2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Andorra,2020,September,NA,Ambassador to the US,Elisenda VIVES BALMANA,Titular,NA,September2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Andorra,2020,September,NA,"Permanent Representative to the UN, New York",Elisenda VIVES BALMANA,Titular,NA,September2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Angola,2020,September,NA,Pres.,Joao Manuel Goncalves LOURENCO,Titular,NA,September2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,September,NA,Vice Pres.,Bornito De Sousa Baltazar DIOGO,Titular,NA,September2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,September,NA,Min. of Agriculture & Fisheries,Antonio Francisco de ASSIS,Titular,NA,September2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,September,NA,Min. of Commerce,Victor Francisco dos Santos FERNANDES,Titular,NA,September2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,September,NA,"Min. of Culture, Tourism, & Environment",Adjany COSTA,Titular,NA,September2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,September,NA,Min. of Education,Ana Paula ELIAS,Titular,NA,September2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,September,NA,Min. of Energy & Water,Joao Baptista BORGES,Titular,NA,September2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,September,NA,Min. of External Relations,Tete ANTONIO,Titular,NA,September2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,September,NA,Min. of Family & Women Promotion,Victoria Francisco Correia CONCEICAO,Titular,NA,September2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,September,NA,Min. of Finance,Vera DAVES,Titular,NA,September2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,September,NA,Min. of Health,Silvia Paula Valentim LUTUCUTA,Titular,NA,September2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,September,NA,Min. of Higher Education,Maria Do Rosario Braganca SAMBO,Titular,NA,September2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,September,NA,Min. of Industry & Trade,Victor Francisco dos Santos FERNANDES,Titular,NA,September2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,September,NA,Min. of Interior,Eugenio Cesar LABORINHO,Titular,NA,September2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,September,NA,Min. of Justice & Human Rights,Francisco Manuel Monteiro DE QUEIROZ,Titular,NA,September2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,September,NA,Min. of Mineral Resources and Petroleum,Diamantino Pedro AZEVEDO,Titular,NA,September2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,September,NA,Min. of National Defense & Veterans Affairs,"Joao Ernesto DOS SANTOS ""Liberdade""",Titular,NA,September2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,September,NA,Min. of Parliamentary Affairs,Rosa Luis de Sousa MICOLO,Titular,NA,September2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,September,NA,"Min. of Public Admin., Employment, & Social Security",Antonio Rodrigues Afonso PAULO,Titular,NA,September2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,September,NA,Min. of Public Works & Planning,Manuel Tavares DE ALMEIDA,Titular,NA,September2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,September,NA,Min. of Science & Technology,Maria Candida TEIXEIRA,Titular,NA,September2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,September,NA,Min. of Social Communication,Nuno dos Anjos Caldas ALBINO,Titular,NA,September2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,September,NA,Min. of State & Head of the Security House of the Pres. of the Republic,Pedro SEBASTIAO,Titular,NA,September2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,September,NA,"Min. of Telecommunications, Information Technology, & Social Communication",Manuel Gomes da Conceicao HOMEM,Titular,NA,September2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,September,NA,Min. of Territorial Admin.,Marcy LOPES,Titular,NA,September2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,September,NA,Min. of Transport,Ricardo Daniel Sandao Viegas de ABREU,Titular,NA,September2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,September,NA,Min. of Urbanism & Housing,Branca Manuel da Costa Neto do ESPIRITO SANTO,Titular,NA,September2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,September,NA,Min. of Welfare & Social Reintegration,Joao Baptista KUSSUMUA,Titular,NA,September2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,September,NA,Min. of Youth & Sports,Ana Paula Sacramento NETO,Titular,NA,September2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,September,NA,"Min. in the Office of the Presidency, Civil Affairs",Frederico Manuel Dos Santos e Silva CARDOSO,Titular,NA,September2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,September,NA,Min. of State for Economic and Social Development,Manuel Jose Nunes JUNIOR,Titular,NA,September2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,September,NA,Sec. of the Council of Ministers,Adao de ALMEIDA,Titular,NA,September2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,September,NA,"Governor, National Bank of Angola",Jose de Lima MASSANO,Titular,NA,September2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,September,NA,Attorney Gen.,Helder Fernando Pitta GROS,Titular,NA,September2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,September,NA,Ambassador to the US,Joaquim do ESPIRITO SANTO,Titular,NA,September2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,September,NA,"Permanent Representative to the UN, New York",Maria de Jesus dos Reis FERREIRA,Titular,NA,September2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Antigua and Barbuda,2020,September,NA,Governor Gen.,Rodney WILLIAMS,Titular,NA,September2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Antigua and Barbuda,2020,September,NA,Prime Min.,Gaston BROWNE,Titular,NA,September2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Antigua and Barbuda,2020,September,NA,Senior Min.,Lester BIRD,Titular,NA,September2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Antigua and Barbuda,2020,September,NA,"Min. of Agriculture, Fisheries, & Barbuda Affairs",Dean JONAS,Titular,NA,September2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Antigua and Barbuda,2020,September,NA,"Min. of Education, Science, & Technology",Michael BROWNE,Titular,NA,September2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Antigua and Barbuda,2020,September,NA,Min. of Finance & Corporate Governance,Gaston BROWNE,Titular,NA,September2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Antigua and Barbuda,2020,September,NA,"Min. of Foreign Affairs, Immigration, & Intl. Trade",Paul GREENE,Titular,NA,September2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Antigua and Barbuda,2020,September,NA,"Min. of Health, Wellness, & the Environment",Molwyn JOSEPH,Titular,NA,September2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Antigua and Barbuda,2020,September,NA,"Min. of Housing, Lands, & Urban Renewal",Maria BROWNE,Titular,NA,September2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Antigua and Barbuda,2020,September,NA,"Min. of Information, Broadcasting, Telecommunications, & Information Technology",Melford NICHOLAS,Titular,NA,September2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Antigua and Barbuda,2020,September,NA,"Min. of Legal Affairs, Public Safety, & Labor",Steadroy BENJAMIN,Titular,NA,September2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Antigua and Barbuda,2020,September,NA,"Min. of Public Utilities, Civil Aviation, & Energy",Robin YEARWOOD,Titular,NA,September2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Antigua and Barbuda,2020,September,NA,Min. of Social Transformation & Human Resource Development,Samantha Nicole MARSHALL,Titular,NA,September2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Antigua and Barbuda,2020,September,NA,"Min. of Sports, Culture, National Festivals, & the Arts",Daryll MATHEW,Titular,NA,September2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Antigua and Barbuda,2020,September,NA,Min. of Tourism & Economic Development,Charles FERNANDEZ,Titular,NA,September2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
