Country,Year,Month,Branch,Position,Name,Status,Gender,File,CIA Updated,Created
Afghanistan,2020,September,NA,"Permanent Representative to the UN, New York",Adela RAZ,Titular,NA,September2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Albania,2020,September,NA,Pres.,Ilir META,Titular,NA,September2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,September,NA,Prime Min.,Edi RAMA,Titular,NA,September2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,September,NA,Dep. Prime Min.,Senida MESI,Titular,NA,September2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,September,NA,Min. of Agriculture & Rural Development,Niko PELESHI,Titular,NA,September2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,September,NA,Min. of Culture,Mirela KUMBARO,Titular,NA,September2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,September,NA,Min. of Defense,Olta XHACKA,Titular,NA,September2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,September,NA,Min. of Diaspora,Pandeli MAJKO,Titular,NA,September2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,September,NA,Min. of Economy,Milva EKONOMI,Titular,NA,September2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,September,NA,"Min. of Education, Sports, & Youth",Lindita NIKOLLA,Titular,NA,September2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,September,NA,Min. of Environment,Lefter KOKA,Titular,NA,September2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,September,NA,Min. for Europe & Foreign Affairs,Ditmir BUSHATI,Titular,NA,September2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,September,NA,Min. of Finance & Economy,Arben AHMETAJ,Titular,NA,September2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,September,NA,Min. of Health & Social Welfare,Orgerta MANASTIRLIU,Titular,NA,September2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,September,NA,Min. of Infrastructure & Energy,Damian GJIKNURI,Titular,NA,September2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,September,NA,Min. of Innovation & Public Admin.,Milena HARITO,Titular,NA,September2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,September,NA,Min. of Integration,Klajda GJOSHA,Titular,NA,September2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,September,NA,Min. of Interior,Fatmir XHAFAJ,Titular,NA,September2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,September,NA,Min. of Justice,Etilda GJONAJT,Titular,NA,September2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,September,NA,Min. of Local Govt. Affairs,Bled CUCI,Titular,NA,September2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,September,NA,Min. of Protection of Entrepreneurs,Sonila QATO,Titular,NA,September2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,September,NA,Min. of Relations With Parliament,Ermonela FELAJ,Titular,NA,September2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,September,NA,Min. of Tourism & Environment,Blendi KLOSI,Titular,NA,September2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,September,NA,Min. of Transport & Infrastructure,Edmond HAXHINASTO,Titular,NA,September2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,September,NA,Min. of Urban Development,Eglantina GJERMENI,Titular,NA,September2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,September,NA,Min. of Youth & Social Welfare,Blendi KLOSI,Titular,NA,September2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,September,NA,"Governor, Bank of Albania",Gent SEJKO,Titular,NA,September2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,September,NA,Ambassador to the US,Floreta FABER,Titular,NA,September2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,September,NA,"Permanent Representative to the UN, New York",Besiana KADARE,Titular,NA,September2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Algeria,2020,September,NA,Pres.,Abdelmadjid TEBBOUNE,Titular,NA,September2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,September,NA,Prime Min.,Abdelaziz DJERAD,Titular,NA,September2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,September,NA,Min. of Agriculture & Rural Development,Cherif OMARI,Titular,NA,September2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,September,NA,Min. of Commerce,Kamel REZIG,Titular,NA,September2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,September,NA,Min. of Communication,Ammar BELHIMER,Titular,NA,September2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,September,NA,Min. of Culture,Malika BENDOUDA,Titular,NA,September2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,September,NA,Min. of Energy,Mohamed ARKAB,Titular,NA,September2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,September,NA,Min. of Environment & Renewable Energies,Mohamed ARKAB,Titular,NA,September2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,September,NA,Min. of Finance,Abderrahmane RAOUIA,Titular,NA,September2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,September,NA,Min. of Fishing & Fishery,Sid Ahmed FERROUKHI,Titular,NA,September2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
