Country,Year,Month,Branch,Position,Name,Status,Gender,File,CIA Updated,Created
Afghanistan,2020,June,NA,"Permanent Representative to the UN, New York",Adela RAZ,Titular,NA,June2020ChiefsDirectory.pdf,24-Jun-19,10/13/2021 3:35
Albania,2020,June,NA,Pres.,Ilir META,Titular,NA,June2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,June,NA,Prime Min.,Edi RAMA,Titular,NA,June2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,June,NA,Dep. Prime Min.,Senida MESI,Titular,NA,June2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,June,NA,Min. of Agriculture & Rural Development,Niko PELESHI,Titular,NA,June2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,June,NA,Min. of Culture,Mirela KUMBARO,Titular,NA,June2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,June,NA,Min. of Defense,Olta XHACKA,Titular,NA,June2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,June,NA,Min. of Diaspora,Pandeli MAJKO,Titular,NA,June2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,June,NA,Min. of Economy,Milva EKONOMI,Titular,NA,June2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,June,NA,"Min. of Education, Sports, & Youth",Lindita NIKOLLA,Titular,NA,June2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,June,NA,Min. of Environment,Lefter KOKA,Titular,NA,June2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,June,NA,Min. for Europe & Foreign Affairs,Ditmir BUSHATI,Titular,NA,June2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,June,NA,Min. of Finance & Economy,Arben AHMETAJ,Titular,NA,June2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,June,NA,Min. of Health & Social Welfare,Orgerta MANASTIRLIU,Titular,NA,June2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,June,NA,Min. of Infrastructure & Energy,Damian GJIKNURI,Titular,NA,June2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,June,NA,Min. of Innovation & Public Admin.,Milena HARITO,Titular,NA,June2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,June,NA,Min. of Integration,Klajda GJOSHA,Titular,NA,June2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,June,NA,Min. of Interior,Fatmir XHAFAJ,Titular,NA,June2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,June,NA,Min. of Justice,Etilda GJONAJT,Titular,NA,June2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,June,NA,Min. of Local Govt. Affairs,Bled CUCI,Titular,NA,June2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
